Date,MaxTemp,MinTemp,AvgTemp,Departure,HDD,CDD,Precipitation,NewSnow,SnowDepth
2023-08-20,89,60,74.5,-1.3,0,10,0.00,0.0,0
2023-08-21,92,69,80.5,4.8,0,16,0.00,0.0,0
2023-08-22,84,63,73.5,-2.1,0,9,0.00,0.0,0
2023-08-23,84,58,71.0,-4.4,0,6,0.00,0.0,0
2023-08-24,82,71,76.5,1.2,0,12,0.03,0.0,0
2023-08-25,94,73,83.5,8.4,0,19,T,0.0,0
2023-08-26,93,73,83.0,8.0,0,18,0.00,0.0,0
2023-08-27,90,69,79.5,4.7,0,15,0.00,0.0,0
2023-08-28,80,73,76.5,1.9,0,12,T,0.0,0
2023-08-29,83,72,77.5,3.1,0,13,0.01,0.0,0
2023-08-30,89,70,79.5,5.3,0,15,0.13,0.0,0
2023-08-31,83,64,73.5,-0.5,0,9,0.00,0.0,0
2023-09-01,81,58,69.5,-4.3,0,5,0.00,0.0,0
2023-09-02,87,56,71.5,-2.1,0,7,0.00,0.0,0
2023-09-03,98,64,81.0,7.7,0,16,0.00,0.0,0
2023-09-04,99,72,85.5,12.4,0,21,0.00,0.0,0
2023-09-05,99,75,87.0,14.2,0,22,0.00,0.0,0
2023-09-06,100,73,86.5,13.9,0,22,0.00,0.0,0
2023-09-07,98,74,86.0,13.7,0,21,T,0.0,0
2023-09-08,93,71,82.0,10.0,0,17,0.12,0.0,0
2023-09-09,88,68,78.0,6.3,0,13,1.60,0.0,0
2023-09-10,82,69,75.5,4.1,0,11,0.06,0.0,0
2023-09-11,86,70,78.0,6.9,0,13,1.00,0.0,0
2023-09-12,87,67,77.0,6.3,0,12,1.07,0.0,0
2023-09-13,85,69,77.0,6.6,0,12,0.00,0.0,0
2023-09-14,82,63,72.5,2.4,0,8,0.00,0.0,0
2023-09-15,78,58,68.0,-1.7,0,3,0.00,0.0,0
2023-09-16,82,54,68.0,-1.3,0,3,0.00,0.0,0
2023-09-17,76,53,64.5,-4.5,0,0,0.08,0.0,0
2023-09-18,79,60,69.5,0.9,0,5,T,0.0,0
2023-09-19,78,55,66.5,-1.7,0,2,0.00,0.0,0
2023-09-20,80,52,66.0,-1.8,0,1,0.00,0.0,0
2023-09-21,79,54,66.5,-0.9,0,2,0.00,0.0,0
2023-09-22,74,58,66.0,-1.0,0,1,0.01,0.0,0
2023-09-23,64,58,61.0,-5.6,4,0,1.29,0.0,0
2023-09-24,70,64,67.0,0.8,0,2,0.90,0.0,0
2023-09-25,70,61,65.5,-0.3,0,1,0.06,0.0,0
2023-09-26,63,59,61.0,-4.4,4,0,0.07,0.0,0
2023-09-27,69,57,63.0,-2.0,2,0,0.00,0.0,0
2023-09-28,70,54,62.0,-2.6,3,0,T,0.0,0
2023-09-29,70,61,65.5,1.3,0,1,0.01,0.0,0
2023-09-30,75,63,69.0,5.3,0,4,0.00,0.0,0
2023-10-01,83,59,71.0,7.7,0,6,0.00,0.0,0
2023-10-02,85,60,72.5,9.6,0,8,0.00,0.0,0
2023-10-03,86,60,73.0,10.5,0,8,0.00,0.0,0
2023-10-04,83,57,70.0,7.9,0,5,0.00,0.0,0
2023-10-05,81,54,67.5,5.8,0,3,0.00,0.0,0
2023-10-06,80,69,74.5,13.3,0,10,0.00,0.0,0
2023-10-07,70,50,60.0,-0.8,5,0,0.10,0.0,0
2023-10-08,63,49,56.0,-4.4,9,0,0.00,0.0,0
2023-10-09,64,43,53.5,-6.5,11,0,0.01,0.0,0
2023-10-10,70,47,58.5,-1.1,6,0,0.00,0.0,0
2023-10-11,72,43,57.5,-1.7,7,0,0.00,0.0,0
2023-10-12,75,45,60.0,1.2,5,0,0.00,0.0,0
2023-10-13,72,52,62.0,3.6,3,0,0.00,0.0,0
2023-10-14,60,52,56.0,-2.0,9,0,0.73,0.0,0
2023-10-15,63,44,53.5,-4.1,11,0,0.02,0.0,0
2023-10-16,63,41,52.0,-5.3,13,0,0.01,0.0,0
2023-10-17,64,47,55.5,-1.4,9,0,T,0.0,0
